# dates,infections,hospitalizations,deaths,mean_r_t
2021-09-26,14812.304924442107,3137.0,43.75492349210509,1.0109632597261131
2021-09-27,14847.768841503406,3142.0,43.89120847735734,1.011085389524748
2021-09-28,14883.625944820104,3148.0,44.030932635202895,1.0112024785087625
2021-09-29,14919.865271322336,3154.0,44.17402155850378,1.011314692263733
2021-09-30,14956.47620573951,3160.0,44.32040319707371,1.0114221913930832
2021-10-01,14993.448468902388,3167.0,44.47000778689376,1.0115251316239928
2021-10-02,15030.772106403476,3173.0,44.62276778134075,1.011623663914451
2021-10-03,15068.437477593603,3179.0,44.778617784664135,1.0117179345607639
2021-10-04,15106.435244925713,3186.0,44.93749448750012,1.0118080853054554
2021-10-05,15144.75636365614,3193.0,45.099336604098966,1.0118942534456135
2021-10-06,15183.392071893404,3200.0,45.26408481127849,1.0119765719414917
2021-10-07,15222.333880971672,3207.0,45.43168168910476,1.0120551695249616
2021-10-08,15261.57356612968,3214.0,45.60207166338137,1.0121301708074288
2021-10-09,15301.103157487623,3221.0,45.77520094986405,1.0122016963870022
2021-10-10,15340.914931319703,3228.0,45.95101750003166,1.0122698629548097
2021-10-11,15381.00140161688,3236.0,46.12947094834521,1.0123347834003553
2021-10-12,15421.355311929174,3243.0,46.31051256097535,1.0123965669157642
2021-10-13,15461.969627475084,3251.0,46.49409518601569,1.0124553190987287
2021-10-14,15502.83752750883,3259.0,46.680173205157395,1.0125111420540234
2021-10-15,15543.952397938667,3266.0,46.86870248674115,1.0125641344934893
2021-10-16,15585.307824190182,3274.0,47.0596403401194,1.0126143918344161
2021-10-17,15626.897584307304,3282.0,47.252945471290964,1.0126620062962555
2021-10-18,15668.715642282545,3290.0,47.44857793979943,1.0127070669955833
2021-10-19,15710.75614160871,3298.0,47.64649911687985,1.0127496600392512
2021-10-20,15753.013399044943,3307.0,47.84667164481159,1.0127898686156738
2021-10-21,15795.481898589207,3315.0,48.04905939743155,1.0128277730841044
2021-10-22,15838.156285656552,3323.0,48.25362744176766,1.0128634510622425
2021-10-23,15881.03136145022,3332.0,48.460342000764044,1.0128969775117302
2021-10-24,15924.10207752167,3340.0,48.669170417082455,1.0129284248216845
2021-10-25,15967.363530513183,3349.0,48.88008111795843,1.0129578628902423
2021-10-26,16010.810957077523,3357.0,49.0930435810793,1.012985359204125
2021-10-27,16054.43972897027,3366.0,49.30802830144988,1.0130109789162813
2021-10-28,16098.245348307726,3375.0,49.52500675921255,1.013034784921535
2021-10-29,16142.223442984825,3384.0,49.74395138840318,1.0130568379302405
2021-10-30,16186.369762248394,3392.0,49.96483554662746,1.0130771965399852
2021-10-31,16230.680172420733,3401.0,50.187633485633015,1.013095917305352
2021-11-01,16275.150652769134,3410.0,50.412320322749466,1.013113054805782
2021-11-02,16319.77729151635,3419.0,50.63887201315872,1.0131286617115487
